O95848 P28331
Q92947 Q5TCY1
Q9H974 Q9BTA9
Q8N8J6 Q00765
P55197 P50579
O15347 P04156
Q9UHQ4 Q96F05
P17844 P38606
O75643 Q15382
Q99JH7 Q9C0H5
P31150 O75525
Q15365 Q80W04
Q99584 O88935
O00479 P29758
O75110 Q9Y2T7
Q14202 P18031
Q9HCD5 O75069
O95070 Q9H6F5
O95070 Q9BV35
Q8NFA0 P10126
Q8NFZ0 P20674
Q8WTS6 Q99757
O35887 O15372
Q5BJF2 P22061
Q7Z4S6 Q13610
Q96K75 O00154
O75069 Q0VGU4
Q9BX66 Q00059
P50453 P18085
Q12766 P15253
Q5VTE0 Q15361
Q8WXI9 O75380
P40227 Q5VZ66
P14854 Q5VT06
Q7Z6K1 Q93045
Q9BZQ6 Q8IXJ6
P62333 Q9UNL2
P13693 Q96SK3
Q9UBB4 Q5U623
Q14194 Q8IX21
O94955 Q15172
P28330 Q9BRH9
Q15843 Q7Z7A1
P56385 Q08J23
Q5SW79 A2AJT9
Q9DC70 Q12905
P51687 Q9UPW6
Q0JRZ9 P17844
Q01081 P17302
P42684 Q99496
Q96JF6 A2AJT9
Q9Z270 O75382
Q9ULE3 Q9Y5M8
P00414 P38159
Q8NBB4 Q61644
Q14103 Q9HDC5
Q9C0H5 Q9NR80
Q99700 P16615
O14709 Q53GQ0
P08865 P17302
P21796 O60341
Q5SZL2 P29758
O75251 Q9HCD5
Q16656 Q96R06
Q8N9K5 Q676U5
P00338 Q53R12
Q6Y2X3 P80313
P04925 P10599
P31040 Q8WXD2
P12277 O70228
O88935 P34058
Q92667 Q9Y5K6
P51649 P25786
P31040 O94955
Q9BRT6 Q8TDR0
O75437 P20674
O75928 Q04323
O75437 Q58FF6
O95198 Q15029
Q5T3J3 Q15056
Q9Y3D6 P17096
Q9BUK0 P08621
Q13765 Q92734
O94923 O89112
Q9ULD5 P08237
Q14527 Q9Y2D2
O94892 O43837
P68032 Q8N8Z8
Q9UBC2 Q9Y2I1
P16104 P57105
Q14444 Q13151
Q6UB98 Q12955
P31040 P35221
Q8K3H7 Q5VT06
Q5H9K5 Q8TDJ6
P51881 Q9NXW2
Q9UKI8 Q9Y2V7
P14373 P05165
Q9BZJ0 P60866
Q13303 Q9BSJ8
Q8WYH8 O60313
Q16623 P43307
Q9UL68 Q9P0J1
P35609 Q9UGN5
Q07954 Q9H2U2
P30101 P48962
Q68CZ6 Q06732
Q07065 Q6AZW8
Q13867 O75376
Q9C0B2 Q91VR2
Q12934 Q8TF01
Q9Y262 Q9BZD4
P35610 Q99496
Q9EPL2 Q9NQW7
Q9H0D6 Q8TAC9
Q14571 Q92947
P27797 O75937
Q14204 P28331
Q16850 Q9BS34
P12277 Q16656
Q8TAC9 P53804
Q05193 Q9NPJ6
P99999 O35350
O75937 O75431
Q8TAS1 Q9H6D7
Q16555 Q7L8L6
P15884 Q9HBI1
Q9Y5B6 Q6KCM7
Q9UKI8 Q15149
Q9H0C5 Q13398
Q9Y2P0 Q92743
P29067 A0FGR8
O95071 Q9UPN3
P10606 Q5H9K5
P10109 Q96RE9
P48553 Q64467
Q15006 Q8BHN3
P25705 P58215
Q8NEF9 P0C0S5
Q9H7U1 Q15904
Q9UIF8 P48643
Q9HDC5 P26599
P58340 Q922R8
O94927 P14625
O95864 Q5JY77
P29692 P52907
Q9HCE3 P33260
Q13439 O95881
Q96AE4 P55884
Q58WW2 P46821
Q6VMQ6 Q9Y496
Q9Y2W1 Q9BX70
P00432 O95831
Q6PKC3 Q6PUV4
Q9BS40 Q3T906
P48553 Q9Y2P7
O43181 P57088
P21675 Q8C0C7
Q9Y2L1 P23284
Q9UFD9 Q96SB8
Q96BI3 O75821
P30049 Q96KQ4
P51991 Q9HC35
P19388 P14314
P09038 P19021
P40926 Q9P086
Q99570 Q15029
Q96L34 Q9NYW8
Q6UB98 P08113
Q03154 O95197
Q0VGU4 P51572
P49821 P21333
P49768 O00479
Q96BI3 Q5JTJ3
P78371 Q15651
Q5VTB9 O95197
Q96RY7 P04843
Q9C0H5 P60468
Q9Y2A7 Q8N2K1
P48167 O43181
O75380 Q13162
Q3TDQ1 P61247
Q9Y6N7 Q9Y221
P10606 Q9H840
P48201 Q8N8J6
Q9Z140 Q9NVP1
Q9BVK2 Q9BQ95
P17302 Q9CWF2
Q86U28 Q08AD1
Q9NQ48 Q9P0U4
Q9Y3D2 Q7Z3B3
Q8K3H7 P20930
Q01538 P30419
Q10567 P0C0S5
Q2M3W8 O95208
P50579 Q2M3W8
Q9P2J8 P14927
Q8BW75 Q8WYH8
P21912 P28070
Q9BY11 Q6P2C8
P10637 Q9NV31
P25054 Q00059
Q9EPL2 Q9NZI2
Q12769 Q9Y6D5
P50502 O60315
Q6ICL3 P30048
P55197 Q9GZQ8
Q9NZV6 Q9BSJ8
Q6NUQ1 Q9BZ95
Q9BRA0 P10109
O15258 Q9ULX6
Q15233 P27797
Q9BZ95 Q06055
O60749 Q1KMD3
O14672 Q9BVK2
Q9UER7 Q9DC70
O00267 Q9ULH1
P23284 Q9Y262
Q8BW75 Q9UJW7
Q13023 P36776
Q9H6F5 Q96CS2
Q06055 Q13085
O75143 P07996
Q8IX21 O94973
Q9P0U4 Q8TEP8
Q676U5 Q14669
Q9Y6D0 Q9W0K0
P04844 Q9Y3P9
Q7Z6Z7 Q9Y287
P08621 O00273
Q6Y2X3 Q8NCW5
P41250 Q9Y5Q8
P49458 P23193
P30101 Q9NYA4
O95258 P30622
Q8TAS1 Q9CQR7
Q9UHV7 Q99LP6
Q16643 P62745
Q99676 Q12768
P10809 Q9HC35
Q15464 O75643
Q96CW1 P31943
Q9P0U4 Q8N3I7
Q9UPW8 Q9BZD4
Q92522 Q9NQT8
Q9UKM9 O75746
Q7Z460 Q9UKX7
Q14789 Q96NJ3
O14607 O00471
Q6QI68 Q16643
P46108 Q9P035
Q9NY65 Q9NR31
O75382 P59923
Q9UNF0 P23193
Q96HC4 Q15059
Q8IYB3 Q9C0D2
Q9GZT6 Q6P2M8
O15067 Q5W0Q7
Q9UJW7 P07814
Q14571 Q15056
O43684 Q9C093
P43155 Q96B97
Q9CR62 P49810
Q6AHZ1 P13489
Q8N9K5 Q9UHY1
P53804 P51571
Q9NS37 Q7L0J3
O15164 P01130
P62937 Q8TF01
Q9H3P2 P11766
O96008 P17600
Q9UNL2 P09619
P17182 P55809
Q9UL68 Q13867
Q03265 O75592
O00139 Q9UID3
Q9UID3 P49418
Q6P4R8 Q9NRH3
P11142 P48553
Q9NP97 Q9Y3D2
Q8TEY7 O60762
Q9NZ52 Q9UKG1
Q8NB50 O94973
Q15788 P35573
P27816 O15015
Q6GYQ0 Q9Y277
Q15125 P00505
P23526 Q8TBJ5
Q9H299 Q9Y2D2
P21707 Q9UMN6
Q9UHG2 Q8NEK5
P16104 Q15904
Q96GD0 P78396
O95258 Q9Y4A8
Q03936 P16298
Q9P2J8 P11532
O94905 O60313
P83436 Q6ZN04
P38159 P00505
Q7Z7A1 Q14789
Q9NQ48 Q9HCE3
Q9BRT6 O00139
O14607 Q5JY77
P04156 Q9Y2Z0
Q9H2F5 O95219
P02511 Q99784
O14782 P84243
O75347 Q14588
Q9P0U4 P46781
P35609 Q13948
Q9HCM1 Q80W04
Q13263 Q8TEY7
Q8TDJ6 Q9UJW8
Q8BH59 Q676U5
P29966 Q9BS34
Q9NR46 P46063
P19157 P24369
Q9QUI0 Q9UIF8
Q8NDP4 Q7LBR1
Q9D1Q6 Q13813
P30876 Q16658
P39023 Q53R12
Q96R06 Q9UIF8
Q8N8N7 Q9NR31
Q9JKR6 O43396
Q96AG4 O35350
O60313 P38606
Q13151 Q9P2W9
Q9H6F5 O43581
Q9QXJ1 P35279
Q14203 P04925
Q9UID3 Q96HC4
O60239 Q6ZNA1
Q02790 P46977
Q9NR09 Q8WXA3
O15235 Q80W21
P46096 Q15005
O95865 O95071
P99024 O75164
P52736 O75363
Q15084 Q91VZ6
Q8IYX8 Q7KZN9
P60468 P41250
Q9GZU2 O15243
Q6AHZ1 P31323
Q9UHV7 P54687
O94892 P12277
Q6PKC3 Q9Y3F4
Q8WWI5 Q07266
P17987 P11712
Q5U623 Q13303
Q96IV0 Q8IXL6
Q99JH7 Q99962
P20674 Q9UIV1
O14497 Q9BR01
Q8IWZ3 A0FGR8
Q9Y446 O00408
P06730 Q8IY18
O75140 P52746
O75688 P38647
O95070 Q96NK8
O35964 Q8NCW5
P06576 P23246
P48201 Q7Z699
Q9UKI8 Q62419
P20674 P52746
O00237 P15104
Q15746 Q09666
P68134 Q06335
P10636 Q8N3C0
Q9P035 Q7LBR1
P62631 Q96M27
Q9UJY4 Q9Y221
Q9Y6D0 P07203
Q96NK8 A2AJT9
Q9UIV1 O60762
Q5T1M5 P78396
Q9NZM1 Q04837
P97432 Q01081
P30876 Q8WUD6
Q12959 Q61214
O15540 Q9P2J8
P09936 O60293
Q5VU43 Q15637
P21707 A8MQT2
Q14202 Q12934
O43402 P04844
Q8IU99 Q64467
Q8IYE0 P30101
Q92542 P36776
P40938 Q9Y3D6
P49588 P0C0S5
Q96HQ0 O15066
Q15050 Q8NHQ1
Q676U5 P16401
Q9BZQ6 Q13642
Q8WUD6 P63104
Q9UID3 P60174
Q9UQN3 P28331
Q12959 Q07864
Q9D1Q6 P62630
P10632 Q9NQZ6
O95864 Q92598
Q8IVF4 P30101
Q9NR31 Q92890
Q9BSJ8 Q91VR2
Q8WUP2 O75937
Q9UJW7 Q9BQI5
Q96P47 O60238
O14976 P26367
Q9BU02 P82933
Q15029 Q15149
P11798 P04844
Q9NWB6 Q96GD0
Q96SK3 Q5VZ66
Q96NK8 P53582
P33121 Q9H0E2
P15884 P49327
P30622 Q14202
Q9Y5Q8 Q8IWZ3
Q7Z3K3 Q9BX68
Q9NZN5 Q9BZ95
Q58WW2 Q96BI3
P53618 Q14202
Q9Y2P7 O15085
Q13049 Q9P0L0
O60762 Q9Z140
Q92830 Q16799
Q9BRK4 Q9H1E3
Q05193 P35564
Q96QB1 Q9UM00
Q96EU6 Q9UBB4
P48449 O43402
P33121 Q3T906
Q8N9K5 Q8C0C7
Q63470 Q86XZ4
Q9NVR2 O14639
A5A3E0 Q8N5Y2
Q15818 P43155
Q9BZQ6 Q96JB5
P05089 P10632
Q06055 Q9UBW8
Q8ND90 Q9P0L2
Q86UV5 P51687
Q15084 Q6NTF9
Q9Y5X3 Q9BQB6
P31942 Q9NTX5
Q9BPU6 P46100
Q15555 Q6KCM7
Q8N3C0 P49327
P63010 Q9P0J1
O15126 Q6VMQ6
Q96KQ4 Q5VZ66
Q99698 Q96DT7
Q9NX45 O15243
P03897 P21707
Q9NYP9 P31946
Q8IX03 Q8TBA6
Q96P70 P07996
Q8TAS1 Q9UKA4
O14880 Q9Y618
P04925 O14827
Q05639 P67936
Q9Y3D2 Q6P2M8
Q96QK1 O14607
Q07866 O95197
Q01844 Q00765
Q9NP97 P51572
O15066 Q9Y6D0
Q9NS56 Q14643
O60784 Q14197
Q9Y2L9 Q8TAF7
P60468 Q9QUR7
Q14194 Q8TC12
P68032 Q9GZX5
O15085 Q8WYH8
Q9Y2A7 Q8IY18
Q3KR37 P51991
Q8WVM7 Q15746
Q9Y2J2 Q9H3D4
Q9BRK4 Q9Y6N7
Q9Y618 P30043
Q03936 Q8NEY1
P46460 Q9BRH9
P22061 Q92734
P52746 Q96P47
Q99536 Q14202
Q9Y2V2 Q5JRX3
P38159 Q9H9H5
Q3T906 Q8N5U6
Q8TF20 P56211
Q96B97 Q9Y5A7
Q15464 Q969G3
Q9UJY4 P54687
O43581 Q14592
Q93045 Q99LP6
B5ME19 Q9Y3D6
Q9HBI1 Q13948
Q9H583 P07947
Q9CQR7 P04040
Q8N9K5 Q9P035
Q7Z6K1 Q8NDI1
O14880 P07900
P52948 P46460
Q6ICL3 Q13114
P60468 P27448
Q9UBS4 Q9NPJ6
P33316 P67936
A0FGR8 O75044
P10828 P40926
Q00059 Q16851
Q14181 P01912
P28331 P00338
O75534 Q9NR31
P23396 O35887
Q8TBA6 P63027
Q9BY11 P21506
Q6P2M8 Q9DB20
Q8IZ26 Q86YM7
Q6AHZ1 O75069
P48426 Q15392
Q13948 P53582
Q15029 Q7Z4T9
Q9ULJ1 P23193
Q9UNL2 P17152
Q9GZT6 Q14914
O95197 Q9BSF8
Q92947 Q9Y3B2
Q6QI68 O14782
Q9NZN3 Q96K75
Q96E17 Q8N8Z8
Q9BQB6 P52272
A2RRP1 Q9H6T0
P21912 Q6ZN04
P43307 Q96FV9
O15540 Q9D1Q6
Q9UNP4 Q9NYW8
Q60780 P30049
Q8TAG9 P08113
P05198 P61956
P40938 Q9NYJ8
Q6UXN9 P78318
Q99996 O75380
P21397 Q12769
O43490 Q6P4R8
P35564 O75380
Q5VTR2 Q16850
P04181 Q06124
P80313 Q8ND90
P07996 P52736
O75376 P51114
P62854 P18583
Q9P2W9 P16402
P16615 Q92947
O70228 P20618
Q9NR48 Q86Y82
Q6PUV4 O15235
P06576 Q9Y5X2
O43490 Q9GZU8
O75822 Q8ND90
P16401 O95996
Q9Y2K2 Q9H6T0
P13693 P62631
Q6QI68 Q96RY7
Q9UNP4 P50990
Q13107 O94923
Q8TBC5 O43815
Q03252 O95208
P46096 P28330
Q12931 P04156
Q9UN86 Q9UJY5
Q969J3 Q8IUR0
Q9NZN3 O94892
P48774 Q8NFW8
Q9BZD4 P63261
Q9P2U7 Q99JH7
Q15424 P07996
Q9UMN6 Q15438
Q9BRT6 O00408
O95258 O14795
Q9UKK9 P14598
Q9H832 P30049
Q9UJY4 Q86UL8
Q14202 Q9NR46
Q9H6F5 P49327
P27797 Q6VMQ6
P28370 Q9BUP0
P15884 Q9NZN5
Q9ULJ1 P18850
P35609 O75937
P19388 O35964
Q13435 Q15042
O14709 Q6QNY1
Q13885 Q06335
P35610 P55884
Q9NXW2 P62241
Q86U28 Q9NZN8
Q02790 Q12907
P11712 P46940
Q9Y3P9 Q6AZW8
Q9UBW7 O75382
Q9NQR4 P48962
O14880 Q8N9K5
Q15392 Q9ULE3
P10109 P13693
Q9H254 Q9Y3D2
Q969Q5 Q15005
Q9UKN5 P14211
Q6ICL3 P28331
O94874 O70228
Q9H2U2 Q9BW19
P53990 Q14165
Q9UKX7 Q8BW75
Q9NVP1 Q9HC35
P40692 Q9H1K0
Q9Y2J0 Q04837
Q76KP1 Q9Y4Y9
Q9NY65 Q15847
P25786 P04181
Q14004 P21912
Q9ULH1 P51572
P53396 Q96AG4
P11712 Q00059
P30049 O14682
Q8N2I2 Q5SW79
Q9UKG1 Q9Y6D0
Q86U28 Q96RU3
P39656 Q86XK2
P56480 O15015
P22695 O43491
Q5W0Q7 O76094
Q9UEY8 Q9UHV7
P17987 P01009
Q96F05 Q9NZV6
P27816 Q14165
Q7Z7K6 O75431
Q9P2J5 O00767
Q9UBS4 Q13263
P82933 Q9C099
P16104 Q9DC70
P35637 O15066
Q9UPY8 P52740
Q9NUQ6 Q92947
Q9BVC6 Q5EBL4
Q15427 Q9NZH0
Q8IWZ3 Q9BQB6
Q9Y5A7 Q15438
P42704 P10649
Q9BUJ2 P68133
O60749 Q9Y3E1
P04181 Q9H7E2
Q12934 Q76KP1
Q9NZ52 O60282
O75746 Q9UL68
Q99JH7 Q9Y2I1
Q9NQX6 P61353
Q15717 P14625
P78318 Q7Z699
Q14155 P14314
Q00610 Q9ULD5
Q96EY5 Q9BV35
P20936 O75533
P00846 Q9NZJ4
O14613 P51649
Q9H3P2 P09496
Q14137 P48643
Q80W04 Q5JY77
Q9P246 P55795
Q9C026 P48449
P53990 Q9H2U2
P82933 O15243
O43396 Q6Y2X3
B5ME19 P20674
O43837 O43488
Q8NCP5 Q9NZI2
P16104 O35887
Q96RK0 O75746
P61956 Q9Y5W8
Q9Y5M8 Q16543
O95198 Q922R8
Q13557 Q15904
Q00765 Q9Y448
O14639 P61009
P56945 Q8IYB3
P05165 P52434
Q9NPH2 Q92522
P49810 Q6P4R8
Q15773 P51572
P25685 O15126
P50213 Q9BSJ8
Q562R1 P14854
Q9BTA9 P30622
P36957 Q96G01
Q14571 Q5W0Q7
Q9HB71 O95881
Q9BRT6 Q13948
Q14197 Q6IQ19
P07237 P16402
Q96CT7 Q96M27
Q99496 P48774
P0C869 Q9Y6D0
Q8WYH8 P51572
Q15005 Q12906
O75376 P10911
P62736 Q99784
Q96NJ3 O95267
P60468 Q9UL68
P13010 Q62188
Q15029 Q8TDM6
O00408 Q96G01
P16298 P51532
P47756 Q9P2W9
Q8NDP4 Q9Y2J2
Q5T3J3 P50990
Q9HB71 O60427
Q4G0X9 P39656
Q96DZ5 Q01081
O00139 O15015
Q15910 Q13303
Q16143 P36957
Q99666 Q00325
P18085 P11499
P01009 Q15303
P09497 Q13029
Q93045 Q99676
Q13438 P36776
P00432 Q9CQV6
Q92625 Q14689
O15121 Q9H765
Q10567 Q9BUJ2
Q14004 P68371
Q7LBC6 Q61316
Q05639 P23284
Q9NZ42 Q07020
Q96DZ5 Q9BVC6
Q8N3C0 P83436
Q15014 Q62421
P14854 Q53GQ0
P51687 O75037
Q86T29 Q3T906
Q6ICL3 Q9Y6R4
Q9UBS4 Q96TC7
P17980 Q9H2X8
P55145 P11233
P03897 O00237
Q13123 P51881
P68133 P43307
Q92804 Q9CR62
P67936 Q14669
Q13610 Q05193
O60427 P29966
Q9BX70 Q9Y6N7
P43243 O75334
Q9BZK7 Q8IXL6
Q15084 Q8WY54
Q13023 Q9ULH1
Q96HC4 P14927
Q7Z6K1 P18085
Q9P0J1 Q16512
P35637 P07737
Q9H254 P39656
Q96G01 O94972
O43581 Q15784
Q9NR48 Q9Y2H9
Q9UJZ1 Q9NR11
P07900 P61019
O94905 P10412
Q63053 O14647
P14314 Q9P2D7
Q8TBJ5 P12277
Q6AZW8 Q9BXC9
Q8WY54 Q9HDC5
Q9BY66 P14625
Q15014 Q9UPN3
P67936 Q9Y2K5
O75143 Q9UKK9
P62917 O94985
P54725 P17182
Q9NZI2 Q9UKN5
Q969T9 Q9Y6D0
Q969Q5 O95070
Q13948 O60216
Q6PKC3 Q8WV44
Q9Y2V2 Q86XK3
Q15102 P52740
P16949 Q8WXI9
P57088 P57105
Q9UPN3 P20674
O60427 Q9P2U7
Q96PY5 Q9UNL4
Q9BX68 Q9UPR3
O95319 Q9H2U2
Q9H6T0 Q9NZ42
Q9Y3D2 Q9Y4J8
Q8NDP4 P29758
Q8TBA6 O15235
Q9C0D2 P62631
O95258 Q9NTJ3
P20336 Q6ZW49
P07737 Q15651
O95196 Q6UXN9
Q96K83 Q9Z140
P35637 Q96G01
Q15056 P52948
P01009 O75150
Q8WWZ7 P48962
Q13227 P15253
O00743 P33240
Q13885 P36776
P53804 Q9NSC5
Q9ULU8 P12956
P83436 P51571
Q8TF01 P46781
P33908 Q9Y473
Q9NZJ4 Q9UHG2
Q15438 Q9UHG2
Q9NZI2 Q96SK3
Q14789 Q9BS40
P29066 O75746
Q9UN86 Q9Y5B6
Q86XZ4 Q8IY18
Q9UN36 Q96AE4
Q8IU99 P30048
Q7L8L6 Q9NZI2
P10809 P26038
O95153 O75937
P17600 P08592
Q9BTU6 Q9P0L0
P07203 P11712
Q9BSJ8 O94811
O95433 Q15637
P51149 Q8NCW5
Q9BRK4 Q9UQB3
Q99784 Q12955
Q9H583 P12814
P00846 O15240
P24369 O60281
P51881 Q9C0H5
P50281 Q9HCM1
Q9BZJ0 Q9BV35
Q9Y3D2 P23526
Q3T906 Q9BW30
Q9UQ80 Q9DC70
P31040 Q9UIF8
Q9UDT6 Q9Y287
P51571 Q9NQW7
Q76KP1 Q9NQR4
P04844 O94967
Q96G01 Q96NJ3
O15371 Q99676
P03897 Q9NPH2
Q9P2J5 Q9H3P2
Q9D6M3 P11798
Q9ULW6 Q9BVA1
P12956 P51693
Q00059 Q96SN8
P49821 Q96RF0
P29762 P00505
Q9BWC9 P83436
P46933 Q9UNP4
Q96P70 Q9BUP0
P04181 P12268
P48553 P14211
Q9UBC2 Q96F05
Q06055 O00767
Q13555 Q9NYP9
Q8IYB3 O94973
O75962 Q6P2Q9
Q8WWI5 Q9Y490
P00414 Q96EK5
Q9BR01 P53999
P30622 Q8WUA4
Q9C0D2 O43181
Q92734 P58215
Q9Y3P9 P31040
O95153 Q3T906
P48201 Q03157
O43490 O94955
Q9NZ52 Q6P2Q9
Q8NEK5 Q9UM00
O14497 P00846
Q14444 O60341
Q5JPE7 P55060
Q13123 P03897
P50453 P51687
Q00688 Q53G59
P04156 P62908
O14795 O14607
Q03265 P61019
Q03265 Q16531
Q15059 P12814
Q8NDW4 O75347
Q99757 Q8TC12
O95864 P13639
Q9P035 Q7L2E3
Q9NY93 P04040
P52434 Q92574
Q9Y4E5 P27105
Q8NDW4 P31930
Q9WV92 Q9Y3A2
Q8WTR7 Q03265
O15540 Q9NY93
Q14165 P03950
Q9BQB6 P49773
Q4G0X9 P23193
Q80W04 Q9NPC7
O43181 Q9ERD7
Q9BRH9 A2AJT9
O15355 Q13029
Q9Y383 Q80W04
Q63470 P08133
P19525 O00237
Q8IX21 P00846
Q5JY77 Q8WVM7
O35180 Q9NZ52
Q9H0D6 P15924
Q9NZ52 Q969Q5
P09936 Q00325
P62495 Q9NR31
Q9Y5K6 Q9Y3A2
Q9NV31 P46108
P40938 Q9H7C4
Q14494 P20336
Q9H074 Q9NP73
P30049 Q62421
Q8NCW5 Q9H0C5
Q6KCM7 P16104
Q5D862 Q8N5M9
P49810 Q13227
Q9HCD5 O95295
Q13435 P04156
O43491 P55145
O75746 Q9C0K7
Q9UPZ3 Q969G3
P68368 Q3T906
Q86XK2 P11712
O00571 Q9D1Q6
Q9C0B2 Q9Y2P0
P20336 P21359
P50570 O75928
Q9Y2K5 O60641
Q96M27 P39656
Q9P035 P25705
P55197 Q9WV31
O15235 Q9UQN3
P24369 Q99536
Q96EE3 P06702
P07437 Q9H2U2
Q15691 P60468
Q03154 Q9C0H5
Q12768 Q13029
O75581 Q86TG7
Q96QB1 Q6PKC3
Q9H0E2 P38647
Q9Y5B9 O76003
Q8NCW5 Q9BRA0
P06493 Q14165
Q8IX21 Q9BUF5
Q96KR1 P20674
Q9ULD5 Q96BD6
Q7L5N1 P82933
Q14571 O00425
Q9Z140 Q9HCM1
O00401 P22695
Q14315 Q8NCW5
Q9CR62 Q12907
P61421 P19388
Q99784 P49368
Q9C0H6 Q6Y2X3
O43166 P53804
P41250 O75251
Q5JRX3 P16402
Q13263 Q04695
Q08211 Q6ICL3
Q8N3I7 Q06055
O95267 Q96JF6
Q8NE71 P18085
O15372 Q9NY93
O95716 Q8IY18
P50995 Q8TBA6
Q9GZM8 O43172
O60749 Q86UP2
Q10567 O75928
Q9Y4E5 Q04656
Q9UM00 P35125
P07954 Q96BI3
Q9UPW8 Q9EPL2
Q8TEY7 Q6UXN9
P29474 P08113
Q14197 P46778
P30876 Q9UNH6
Q16595 Q9P016
P04181 P53804
O15258 Q15904
P17302 P23246
Q6KCM7 Q2KHR2
Q93045 Q6P4R8
P53999 Q9NQC3
Q9BUF5 Q9GZT3
P04843 Q06481
Q9W0K0 Q9HCZ1
Q5XPI4 Q75QN2
P52907 Q8NF64
Q8TC12 P19332
P62745 P62241
O15240 Q99687
Q9BQB6 Q01081
P10649 P17096
O75581 P52434
P04843 O95359
Q99961 Q96RK0
Q53EZ4 Q3T906
Q60780 P43307
P23526 Q13620
Q6DJT9 O95613
P51687 P17182
P48449 Q86XK2
Q2M3W8 Q15904
Q8BP92 Q7L2E3
Q9D1Q6 Q9P258
Q9BZQ6 Q9H765
Q92878 P10809
Q5VST9 Q9Y2V7
Q8TEP8 Q5BJF2
Q16656 P16298
Q9UK22 Q9Y2P0
Q9BS34 P10632
Q9Y3D2 Q9NQR4
Q8IU99 Q6DJT9
P33121 Q13098
O94972 Q9Y468
Q63470 Q9NV79
Q9NZ52 O75179
Q5SW79 Q9UGL1
P11712 P21912
P05165 Q9Y2W7
P11142 P28331
Q9H2F5 Q9BZQ6
Q80W04 Q08AD1
Q99584 O00267
Q6UXN9 P35125
O43166 O15258
P61764 P04156
Q8N3I7 Q9BZK7
P46977 P30876
P16333 Q9DC70
Q14588 O95197
Q9H7C4 P46977
Q53R12 Q8WVM7
P46977 Q9NQR4
Q15084 P62241
P35659 P08247
Q9UM00 Q9GZU2
P51826 P00338
Q9BS40 Q9UJU3
P26583 P07996
O35887 P06733
P60866 O15243
Q03252 Q8WXD9
O15015 P35279
Q9HCZ1 Q0JRZ9
Q9NZN3 P06576
Q9P246 Q9BQ70
P28331 O75525
Q14318 P13682
Q9CR62 Q9C040
O14880 Q2KHR2
Q9Y2V7 Q9BZE9
Q9H0D6 Q96CS3
P54725 Q9Y6X6
Q06055 P09874
Q9BVK2 P08133
Q96EE3 P48449
Q6P2Q9 P68369
Q9UDT6 Q9P2E9
P21707 Q99676
Q99436 Q99757
Q13029 P49768
O43572 O95243
P14927 Q8IYB3
O75037 P16402
P04843 P04350
O15235 Q7Z7A1
Q12907 P21359
P19388 O14672
Q5VZ66 P25789
Q8NI27 P02766
Q9UHI6 Q9H2U2
Q6PIJ6 O75431
Q9NR48 Q15056
Q8IXL6 P09619
Q6GYQ0 Q8BP92
P82933 Q3T906
P60174 Q5SXM2
Q99714 Q9BRA2
P14927 P61457
O75925 P31946
P43307 Q86U28
Q9H2K0 Q15125
Q9BVP2 P14211
Q9Y5K6 Q8NEK5
P35658 Q9UNL2
Q13049 Q06335
Q14789 P56559
P60468 Q5XPI4
P30626 P07910
P50213 P09038
Q1KMD3 Q99996
Q92574 Q8WX92
Q8IUR0 P53396
P14373 Q96M27
P16949 Q96EE3
Q9BV35 Q7Z6G8
Q5VTR2 Q9D6M3
P62995 Q155Q3
Q8N660 P35659
Q86XK2 P33176
Q9H0A6 P14927
Q99757 Q9UPR3
O94967 O75164
O15355 P25705
P15311 Q9UL68
O14776 O95716
P15311 Q6KC79
O00291 P07996
Q9UL68 Q00169
Q6P4R8 O15371
Q92734 Q8TBB1
Q96CW1 O75251
P05089 P38646
P51826 P20029
P28331 Q96SN8
P01009 Q8IY31
Q9Y5B9 P21796
Q03265 Q01082
Q8NCW6 P40938
Q9BZK7 Q9ERD7
Q8WTR7 O15085
P16333 P99999
Q2TAA8 Q96AG4
P39748 Q99666
Q13561 Q5SXM2
P07305 P06396
P23284 P00558
Q9BZK7 Q6NTF9
P50213 P22392
O14776 O43181
Q8NFA0 Q9Y490
Q8NCW6 P26599
Q8TBB1 O75937
P61019 Q9UQB3
O95864 P62908
Q96FV9 P83436
Q9H7D7 Q922R8
Q13885 Q14202
Q14204 Q5T3J3
P30622 Q58WW2
Q9Y5S2 O35887
P04844 Q14318
Q15370 P35221
Q13435 P49588
Q9GZU2 Q14697
Q9UN86 Q04727
Q61214 Q9H9H5
Q00169 P55145
P07996 P20357
Q5JVL4 Q15361
Q15042 Q9P2W9
P33908 O75533
Q9UKX7 Q7KZI7
Q96N64 P21796
Q16799 Q96LB3
Q9UBB6 O75937
Q14592 O14520
P11798 Q8NBB4
Q92667 O75131
Q86YM7 Q9CQR7
Q8N2I2 P31930
Q9BVK2 P50579
O00267 Q9CWF2
Q9UQN3 Q96AG4
P35637 P51687
P23246 Q80W04
Q9UHV7 Q6Y2X3
Q9WV55 Q10567
Q92664 O94973
Q9UKK9 P68369
Q9NXR8 P14211
P08247 Q9Y6D0
P62987 Q8BP92
P10515 P15924
Q9UBW7 P62917
Q8N987 Q13029
O14613 Q8N5Y2
P05204 Q9BQB6
Q9H2U2 Q9UPZ3
P07237 Q9CWF2
P05109 Q8BP92
O75563 Q13620
Q99LP6 O60869
P56385 Q9BSJ8
Q8NCW5 Q7LBC6
Q8IVF5 Q86T29
P16298 Q9Y2D2
