O95400 Q9Y4W6
Q9NX20 P63041
Q9UNE7 P22033
Q12907 Q8TEU7
P61006 Q15005
Q6P4A7 P08754
Q969V3 P16546
O15042 Q8IWX8
Q9H2M9 O95218
Q9NP97 A8MXV4
O14576 Q8N2K1
Q15672 Q9H845
O00268 Q9BQE3
O35964 P36551
Q8NEW0 Q15651
Q99536 Q16670
Q9NU22 O00483
Q9UKV5 Q8IX12
P60763 Q9Y4L1
Q9UL18 P35269
Q99708 Q9HAT1
Q8N1G2 P35564
Q969V3 Q9UG56
P61019 O43172
Q15059 O95352
Q8JZU2 Q9UL18
Q9CQC7 O60231
Q7TMM9 Q9NW13
Q96EY7 Q96R06
P61020 Q14257
Q91YT0 Q8K2H1
Q8IYH5 Q9DCJ5
P67775 Q9H8Y8
O95573 Q6PHZ2
P21796 O75400
O00411 Q9HBH9
Q8K310 Q8R418
A4D1S5 P52272
P05204 Q9CPQ1
O60264 Q96QK1
Q9BQ39 Q3UIU2
P29353 P43274
Q99LY9 Q8IWZ3
P56391 O75419
O14810 P42285
P27144 Q9Y484
Q9BQA9 O35179
Q8IWE2 Q6UX04
P68371 Q61214
P43024 P04075
Q8IZD2 Q8TCT9
O60524 P26038
Q9BYX7 Q9BYD1
Q9JIS5 Q6NW34
P00533 Q7YU24
P50516 Q5VTL8
O15355 Q96PT4
Q96GD0 Q08945
Q9Y277 Q13263
Q15532 P49915
Q9Y3Z3 Q969H8
O75396 O00154
O43819 O14647
Q99574 O60264
O43719 O75489
O60229 Q01094
Q9BQ39 P55084
Q8N2K1 Q9BW92
Q9UK61 P84091
O43719 P62482
O94906 O00214
P59999 Q5JPE7
P58771 P17535
Q99708 P53355
Q9H3H9 Q9CQV8
P10155 Q9NYV4
Q5HY98 Q9D023
Q80YN3 P19536
Q86UE4 P55809
Q9WV92 Q9Y5M8
Q7YU24 Q86WG5
P11802 Q8CHZ9
Q6ZVX7 Q8WUM0
P30536 P55795
Q9CR68 Q5XIF6
Q99933 Q9H936
Q9H2K8 Q9CR68
Q6A0A9 P41161
Q5VWG9 P51553
P36873 Q15084
P63039 A6NHL2
P11177 Q9H2G2
O75436 P52701
Q8NF37 P62880
Q01968 Q8N1F7
Q91VR7 O15047
O75525 Q14257
Q5T200 Q9ERG0
Q96N16 P82650
Q5T653 Q6NUN9
P05091 Q9WV60
P20340 Q9CQZ6
Q9WVC0 Q9NP64
Q80YN3 Q5NDL2
Q96S38 Q791V5
P31946 P10109
P51649 P62917
P08240 P21579
Q7Z6M4 P62875
P36957 Q96EK5
P00533 Q9Y3D3
Q9UBT2 Q9Y3D6
Q92878 Q63716
P49411 Q9BY43
P21107 Q9H936
P60879 Q03164
O88569 P23242
P63001 P45880
Q8N3C0 Q12840
Q8JZU2 P10242
P46013 Q9CZ13
Q6YN16 Q99719
Q9Y5K8 P51571
P67775 P30536
Q9H9G7 Q13029
Q9NZI8 P99999
Q7L592 Q08116
P12787 P49588
Q9UDW1 P17028
Q13813 Q811U4
P98170 P13667
Q9NZU7 Q6NW34
O75251 P14618
Q9BWJ5 Q6P7A2
O43143 Q01082
O95373 P15999
Q7L592 P68369
Q9NTX5 Q9UL68
P08047 P30275
Q5NDL2 Q3UHD9
P49411 Q01469
Q9UI09 Q96JM7
P39054 Q9UKV3
Q9CPQ1 Q14181
P70372 Q9NUJ1
P14625 Q9H0N0
O60333 Q63HQ0
Q13257 P07237
O55143 P43024
P17427 P35250
A2CG49 Q9CQZ5
P50748 Q9UKV5
Q9ES28 Q15672
P46781 O60488
P48047 Q01844
Q91VD9 Q8IZL8
P09669 Q13283
P25205 P17046
Q9Y2I1 Q9P013
Q9H6S0 O00541
O95847 Q8IY33
O60841 P38159
P11177 Q13263
Q9CQ54 O43324
Q6UB98 O75323
O75937 Q969T3
Q9H2U2 Q53QZ3
Q9NYU2 Q06587
Q13151 Q969S9
Q9BVI4 Q15181
P62854 Q9Y3D8
Q8CJF9 O94985
Q52LJ0 Q5T653
Q91VD9 P49796
P47897 Q9Y618
P40616 Q9ERS2
P08237 P42126
P52888 Q01081
P17844 P42566
Q9BUJ2 P78318
Q12800 Q8VEM8
P12268 P50454
P82650 P46060
P03888 Q96P63
Q96IY1 P48047
Q8WYQ5 Q61387
Q9HAT1 P26196
Q9H845 Q14203
P03921 P35606
P12956 Q6P9K8
P61803 P15336
P52292 Q8NBS9
Q13835 P82921
Q99442 Q9UND3
Q92932 P51814
Q9NVJ2 Q7Z4V5
A5YKK6 Q5T9A4
Q14974 Q9Y4L1
P31930 P34932
Q9HB71 Q53H12
Q9D6J5 P63329
Q5JPH6 Q9H2A2
P48735 Q8TBM8
O00178 P10719
Q9H3N1 P82094
Q9BV38 P60468
Q8TBC5 Q8NBN3
Q01082 Q9Y3D6
P12532 Q9HC35
Q9NRZ9 Q9Y3P9
P00414 Q9HC62
P61014 P52209
Q9DB77 P11308
P11177 P20936
Q91YQ1 Q9BZE1
Q8CJF9 P16402
Q9P0J0 P53355
P20936 Q8IYB8
Q9QYA2 P49736
O43684 P12787
Q9UBT2 O95847
Q9UKU7 O75937
Q8NE71 Q9NSE4
Q9H501 Q3KRE8
Q16740 Q9BRJ7
Q9H0S4 Q8IWZ3
Q96TA1 P45954
Q96G23 P53355
Q91VD9 O43815
P51649 P48643
Q9BYC9 P31629
P61019 Q7Z4H7
Q9NYK5 Q01082
P70372 P04925
Q8NBQ5 P38646
O75369 Q00403
P61163 Q13907
P63039 P62879
Q92542 Q06481
P97473 Q9NRW7
P33778 P14735
Q8NF37 A2CG49
P49207 P12532
P51991 P50570
P11142 Q9CPQ3
P04156 O43303
P47985 Q9ES54
O14929 P17302
Q969S9 Q9BQE3
Q6IN85 Q9CPU4
Q9UQ35 Q3B8Q0
Q8IUF8 P56385
Q9CQ54 Q9NRW7
Q14839 Q91VD9
P56270 Q9BSF4
Q9Y5T5 Q86X83
P61160 Q99551
Q14181 P05213
P49458 Q8IYB3
P08237 Q8TDN6
P84091 Q9DB77
Q9NRW7 O75663
P56556 P31629
Q14566 Q14257
P13995 Q9UI14
P12236 Q9UNN5
Q6NW34 Q9HD20
Q96S38 Q9CZ13
Q86XE5 Q9H467
Q9H2A2 Q96AG4
Q5XIM9 O00411
Q96I25 P61983
Q9DC69 Q86Y82
Q86XE5 Q86TJ2
Q9H936 P50398
P16152 P32322
P29067 P49406
Q13029 Q9CQC7
P07237 P43024
Q8IUF8 P02687
Q969V3 P49674
Q61548 Q9UHQ7
O14974 Q9CQQ7
Q9P0J0 Q96S38
O14949 O60315
P03911 Q01780
P0CAP2 O75581
O15042 P13693
P78318 O60264
Q7L0Y3 P50851
Q16670 Q9NVJ2
O43809 Q78IK2
Q9CPQ8 P52888
Q12788 Q6NVY1
Q99962 Q9P0U4
P63001 P49406
P41743 O00483
Q91X78 Q92997
P63011 Q60930
Q8WWC4 P27694
P23242 Q02750
Q9QYA2 O95990
Q01105 Q9H845
P09936 Q8NI27
Q71F23 P04181
Q9WV60 Q969V3
O75964 P61006
P68373 Q5H9L2
Q86Z02 Q96TA2
Q8VHJ5 Q13907
Q9UBT7 P05141
P99024 O43464
Q9NRL3 P23193
Q9D6J5 Q9H1E3
P18859 O43516
P12270 Q8CAQ8
P61803 P03911
Q8N5F7 P68372
O94905 P53370
P51116 Q06587
O75794 Q9UND3
P49821 Q562R1
Q9BSF4 P34932
Q08209 Q14498
P22695 Q15029
Q14498 Q16658
Q63HQ0 P58771
Q04323 Q9ULC5
Q96L92 P36551
O15260 Q9NU22
Q80YN3 Q9NX20
Q8NBU5 Q9Y6H5
Q8NBN3 P00338
Q9NRW7 P31324
Q15005 P30520
Q6P9T8 Q16850
Q9Y5M8 O75347
O95070 Q60932
Q8VHK9 Q9Y4L1
Q8NC51 P46977
Q9H3K6 P82675
P53007 Q9H8Y8
Q9NQ55 P08237
Q7L0Y3 P29373
P56391 A5YKK6
Q6P1J9 P51141
Q969V3 Q9BZH6
P12787 O75533
O95456 Q12769
P17600 Q53EL6
Q15019 P13995
Q13724 Q9BVI4
P52888 Q15386
Q8IUQ0 Q99LC3
Q9BVP2 P40429
Q5S007 P31629
Q9BSD3 Q92542
Q12756 P29692
Q9UGP8 P15924
Q16891 P10637
Q14444 P36551
Q9Y285 Q8NFT6
P97351 P67812
Q9CPP6 P62082
P25685 Q9BYN8
Q5RKV6 P51553
O00429 Q16594
O60337 P27144
Q16891 O00116
O60308 P61803
O95847 P19525
P60766 Q92734
O95573 P84079
Q9QWI6 Q9GZT3
P40925 P09661
Q5SRE5 P49589
Q9NT62 Q8TF39
P00533 Q6P9V9
Q96I25 Q9Y3P9
O96008 Q16658
Q8ND71 Q9UBD5
P18859 Q15717
P35279 Q7L592
O95456 P36957
Q86Y56 Q9CQ54
P34926 O14874
Q6PHZ2 O60337
P68371 O75150
Q9QXS6 P38159
P27824 P26368
Q15276 Q969H8
Q9Y3C6 A5A3E0
Q13136 P09669
O75179 Q811U4
Q91VD9 O15226
Q8TCT9 P13639
P25963 P98161
Q9ERG0 P46977
O60524 P09669
Q53H12 P48729
P35249 P46460
P60866 Q9HD33
Q00981 Q9D855
Q9CQ54 Q13330
Q13637 Q15424
Q96A33 P12268
Q9BYT3 Q8IWZ8
Q9P0U4 P53582
O43809 P04040
O95202 Q9Y5X2
Q96C24 P28340
Q9BQE3 Q6P4A7
Q9BUJ2 Q99442
P14324 P18859
Q9CPP6 P61353
P68372 A8MXV4
Q9UN86 P12004
Q9CPQ1 Q62277
Q92973 O95168
P09874 Q92598
A4D1S5 Q2NL82
Q86XE5 O15260
Q9NYV4 Q9UPY3
Q9NSE4 P37108
P19367 Q9BVI4
Q96EU6 O95433
P39019 Q8IUQ0
P17844 P15121
Q4J6C6 P46977
Q9HD33 Q5NDL2
Q15386 Q16795
P04843 P38647
P35659 Q9H2M9
Q969N2 O15347
Q9UG56 Q15233
Q9CQZ5 Q9BXJ9
Q9UBI4 Q7Z6M4
P10809 P49674
O75934 Q5T5P2
O35244 O14776
Q9UQB9 P05091
P52736 Q8K1M6
P23258 Q9HCC0
Q13907 Q86U86
P27348 Q9UK59
Q05048 Q99LY9
Q8WWY3 Q969V3
O76080 Q92734
P17844 Q13867
Q60932 Q9UKX7
P07910 Q9Y4G6
Q01804 O00217
O75489 Q9UQB8
Q13057 Q9BQA9
Q9UHD9 Q16850
Q9UKV5 Q96T23
P04179 P61086
P08579 P02687
P50851 Q8NC51
P62993 P04040
O60231 P19367
O94905 P14866
P23368 O75937
Q9CZ13 Q02750
P51571 Q9Y6H5
Q9NRX5 P51531
Q9NYU2 Q5PPJ9
Q92804 Q91VD9
Q8NBS9 Q9BZH6
P05455 Q9BY43
P12787 Q9H4L4
P18859 Q3U133
Q92734 Q9P2R3
P67778 P68372
O75581 Q5D862
Q02878 Q9Y4L1
P09103 P82650
Q9Y5L4 O75342
O94776 O75347
O60231 Q9UBI4
Q9CZ13 O94874
Q96DV4 Q9Y6M4
P03911 Q9HAU5
P43243 P68368
Q9UPQ9 O96019
Q99417 P16615
Q13151 Q92574
Q6IA86 Q9NYU2
P49792 O95847
Q15628 Q7L0Y3
Q9BUF5 Q9BQ39
Q9DCX2 Q03164
O00401 P19536
P07737 Q92522
P49006 Q96I99
Q8TCT9 P19388
P60711 P10620
Q16822 P30040
P62330 Q96DV4
O75150 O75843
Q8BH59 Q92922
Q86X83 Q13595
P43243 Q9P035
Q5PPJ9 Q8TCJ0
Q9NRX5 Q14139
Q9P2X0 Q8TEU7
Q12972 P08574
Q8IWZ3 D3Z2R5
Q9Y305 Q07866
Q99959 O00139
Q9H488 P03911
Q60930 P04406
Q99469 Q9HD33
Q9D023 P43034
Q9H307 Q6IQ22
O95847 Q15005
Q9Y383 Q6IAN0
P61956 Q61548
P83881 Q7TMF3
Q9UBT7 Q13467
O14654 Q9H845
P04179 Q9D0M5
O60337 Q9NYV4
Q92598 P05091
Q9Y2Z4 P22528
Q8IWE2 Q13467
Q9P0L0 P10809
P67812 Q9UPY3
P78346 Q99442
P43034 Q9H2U2
P63325 P30533
Q14197 Q7TMM9
O60231 Q9Y3D6
P61160 Q9UKV5
Q7Z2W9 Q9H2Y7
P15337 P62701
P21107 Q9UDW1
Q8NI60 Q8IYB9
P35704 Q9NQ55
Q7KZF4 Q8CAQ8
P17302 Q8WUM0
O60293 P07741
Q9UKX7 P62701
P13473 Q13029
Q9Y3Z3 Q16822
P40938 Q562E7
Q8NI60 Q9QYR6
P12236 P08240
Q9UQE7 P10719
O75306 O60506
P20340 Q13283
O60313 P12814
O75477 O60832
Q9UKX7 Q64516
P41161 P40429
Q9BSH4 Q9H2A2
P49411 P05412
Q8NFT6 Q9BXM7
Q08AD1 Q16740
O94905 P05141
Q60932 P41743
Q9BXY8 Q6P4A7
P62136 Q9NZ45
P62137 Q9NSE4
Q9CQH3 O95793
P61163 P38432
P32322 Q92519
Q5JTH9 P61586
P14625 Q9P258
Q5PPJ9 Q8JZU2
P17427 Q9UGP8
P61019 P24386
P43354 P38117
Q86U42 Q9P2W9
Q9CPU4 Q9NW13
Q5BJF6 P07237
Q9CQZ6 Q06413
Q8NI60 Q8TAM6
P30101 P19447
Q91X78 P52655
Q03252 P22528
Q13310 Q9NZ01
Q9H5V7 P13995
O35643 Q9UKV5
Q9NRR5 O00483
P13995 P55060
Q8WUA2 P58774
P61981 O96008
Q16576 P16086
P30040 P48643
Q12907 Q969S9
P31323 P29122
P05388 Q9CQ69
Q5BJF2 Q969Q0
Q6PJT7 Q9D6M3
P11137 P41161
P23242 Q14964
Q96JM7 Q8T390
Q14694 Q15031
Q9NXB0 Q04837
O95486 Q08945
P06748 Q96TA2
Q9BZF1 Q9CQV8
P23242 P23368
Q99961 Q791V5
Q9Y2C2 Q96RT8
O00629 Q9NRW7
Q9H936 Q92973
Q9Y5M8 Q14197
P04350 Q16594
P12236 Q68E01
Q96L91 Q02878
O60337 P63313
P27144 P08752
P29122 Q9H2G4
P31946 O60337
P68255 Q8N1F7
P40630 O95433
P24386 Q9P2X0
P68255 P04181
Q9NPD3 Q9Y4L1
P32019 Q9UK59
P10412 B5ME19
Q9NV56 Q99700
P00441 Q9QXU9
Q99797 P07737
P49411 Q12904
Q9UIF8 Q9H488
O94906 Q9Y3P9
Q01105 P51398
Q13867 Q9NYU2
P04075 Q9Y5T5
Q13243 Q9NXS2
Q8N2K1 Q5VT06
O15027 Q9H0A0
Q9UQE7 P08559
Q96HS1 P00338
Q9UIL1 O75489
Q15029 O14976
P10126 Q9BYD1
O94776 Q8NDI1
Q6NTE8 Q9Y2T2
Q92688 Q78IK2
Q8WYQ5 Q61548
Q16795 P62330
Q9EQH3 Q8WYQ5
Q14204 O75150
O14818 Q9BYD1
Q9UK59 Q8WWC4
P61803 O14647
Q96R06 Q5HY98
P51553 Q15427
P03893 P68032
Q9Y5T5 Q99666
Q92890 Q16795
Q13185 Q7L592
Q9CQQ7 Q9H0N0
P61244 O88935
Q9Y383 P05213
Q7L5N1 O60313
O43865 Q13620
Q8NBJ5 Q8N983
P62330 Q8CAQ8
P10620 Q9HCH5
Q9BYD2 P12004
Q9NP72 Q9UKV3
Q9Y3B4 P31150
P35354 P46940
P28340 P49589
P45880 Q9JJM9
P14735 P13667
P35354 O60282
Q16822 P62630
Q5T9A4 Q86Y82
P10109 Q9WUD1
P68363 P31943
Q922F4 Q02978
P30040 Q9D6M3
P19536 P58753
P61163 Q96AG4
Q15005 P05413
Q13428 O15068
P08865 P51571
P21802 Q03468
O43290 Q9NRL3
Q5H9R7 Q6IAN0
Q15637 Q13555
P31943 P48771
Q13426 O75251
P17600 Q8N3C0
Q7L576 Q86TJ2
O00217 O95405
P08592 Q9D855
P62137 Q3UIU2
O00268 Q9QYA2
P20248 Q14197
Q15813 P07910
P00405 P14921
Q5BJF6 P82933
P63000 Q9NYU2
O15047 Q9R1R2
Q9UQR1 Q9H2K8
P29341 P28331
P15146 Q8NBS9
Q15029 Q9BW91
Q15813 D3Z2R5
Q8CAQ8 Q13509
Q9D023 Q15369
Q92575 Q9UPQ9
Q9NZI8 P54886
Q86UP2 P51812
P50851 Q01484
Q9D855 Q5T749
Q9H0U4 Q9Y618
P50213 Q8IYW5
P16546 P13667
P20618 Q8NBS9
P43246 Q3UIU2
Q7Z4H7 Q9BWJ5
Q99708 Q92997
Q9Y2K1 P53992
P35813 P07237
P60710 P05091
Q15596 P27448
P63039 Q16222
Q9UI09 P35354
P19536 P38606
Q9ESN9 Q14498
Q08116 O60264
O75525 O75342
O00767 Q9H7L9
Q7LBC6 Q3B8Q0
P19404 P50990
P52292 Q9UGP8
Q99LY9 Q13895
Q9HCH5 P60468
P48047 P09936
Q9NRX5 Q9JKK7
P19388 Q9Y5L4
P14921 Q9DCJ5
Q9UKT5 Q96AG4
P42126 P62241
Q12931 O00273
Q9P2X0 Q9Y2T2
P51571 Q9BTT0
Q9UI14 P03921
P30536 O14974
Q9ES53 Q9UDW1
Q8IX01 Q9JKK7
P53597 P08113
Q12769 Q6L8Q7
Q9NYK5 Q5H9L2
Q53QZ3 Q6P2Q9
P50851 Q86XE5
P13667 P47869
Q8VBT0 P63011
Q8NEW0 Q9NP79
Q9UPY3 P52272
P31948 P45954
P35354 Q01469
Q8TDN6 Q02952
P07237 P35232
O75477 Q9NTX5
Q96F86 Q5C9Z4
P49736 Q5TI25
Q8IZD2 Q63HQ0
P14873 P35251
Q9H334 O95819
O35814 Q9D6J6
Q8JZU2 Q9QXS1
Q8IV08 Q9HB71
Q9NXS2 P34932
Q8JZU2 O43290
O75663 P04843
P56391 P10242
Q96C24 Q8TBM8
Q96CS2 Q99708
Q99933 Q12931
Q7L576 Q6L8Q7
P29122 P11802
Q92878 Q8NEW0
P17987 P48771
P51965 Q9NSE4
Q06587 Q9BYN8
P10588 P61586
Q9BUL5 P17302
P39687 Q5JRX3
P13693 Q96JM7
Q9NT62 Q9D8B4
Q9DB77 O94832
P62318 P36551
Q8TCJ0 Q96JJ3
P17426 Q99697
Q15427 Q05084
Q9Y3Z3 Q9QWI6
Q05048 Q8NI60
P30837 P04040
Q00987 Q7TMF3
Q6P1L8 P10636
P23242 O95793
P04350 P38647
P13639 Q9NTJ5
P18859 Q9BYT3
Q12955 Q8NI60
Q9Y5B9 Q9NTJ5
P51398 Q01081
O75746 P0DME0
Q9C0B0 Q96EU6
O88569 Q9H3N1
Q9ES53 Q8VEM8
Q6P1L8 P51693
Q04695 P07910
Q8NBS9 O95391
Q9EP71 O15260
Q00169 O43464
P83881 Q8IX21
P10620 O75822
Q9NYK5 Q9GZZ1
Q92600 Q969H8
Q9Y2C2 O75419
Q9UK59 P46821
Q5JRX3 O35526
O95405 Q7KZ85
Q969N2 P49419
P19536 Q9Y678
Q9Y657 Q13467
P63011 Q9BW92
P00533 P42574
P50399 Q8K310
O94905 Q9BW19
Q9BZE1 O15068
P09103 P43243
Q9CQQ7 Q96AG4
Q91VR2 P42025
O00268 Q96MG8
Q9H845 Q53GS9
P23497 O75251
P12236 Q3KRE8
Q9CQC7 Q8N684
P12004 O75663
P05141 P62805
O15260 P08752
Q9HCE1 Q8TCT9
P49406 Q5VTR2
Q9QXU9 P15337
O75694 Q16891
Q5T5Y3 Q60932
O14966 Q96EE3
Q9NRX5 Q9Y2D9
P37108 Q5HY98
Q9CR62 Q15459
O60315 Q92538
P61586 Q91YT0
Q14181 P11021
Q63HQ0 P27695
P42574 Q9P0L0
Q8NBJ5 O43172
Q9HD33 Q8N1F7
P49821 Q9NRW7
Q8WWM9 P05423
Q96J01 Q10713
P63044 O60488
P78346 Q8IXI2
Q96PQ7 P27824
Q96HS1 Q99933
P51553 P35269
P16402 Q99719
P61803 Q32MZ4
Q15392 Q9BU61
Q96TA2 P62195
P35279 O75150
P11387 P11442
Q9CQZ6 O75934
Q9EP89 O95789
P52434 Q9CPQ1
P61014 P80313
P04150 O75396
P0CAP2 Q9UKA4
P25788 O60476
Q6P9K8 Q9BRJ7
P46060 O60488
Q8NBQ5 P62304
P47985 Q14155
O43719 Q15019
Q5EBL4 P51571
Q8IYB9 O60229
Q86X55 Q96EY7
P62273 P03921
P08579 P56385
Q9BYD2 P06400
P55072 P58281
P36542 P63027
Q91WD5 P61978
P42285 Q71U36
Q86XE5 P06400
Q96JJ3 P19536
P30536 Q9BU23
Q06055 P05213
Q86XE5 Q9Y2I1
Q12931 Q9BWJ5
P62913 P50851
P15337 Q86YZ3
Q9H9B4 O00178
P50454 Q01581
Q8N2K1 Q3V6T2
Q8IYB5 Q8N0T1
Q6P1L8 P47869
Q92558 P30837
Q15369 O75569
O95140 Q05048
Q96EU6 P63261
Q78IK2 Q08188
P63325 P19404
Q16643 O75400
O15144 P16615
Q13263 Q9DCJ5
Q9CQ75 P60881
Q6NTE8 Q92932
P19332 P13995
P22087 Q8N6T3
Q96R06 Q05519
Q9UIF8 P07737
Q91YT0 Q13895
Q7Z4V5 P56480
Q15276 O95070
P55072 Q9BYN8
P62269 Q53H12
Q6P4A7 P06454
P15531 O00217
O14949 P50454
P00533 P52789
O15240 P00533
O15226 P21802
Q16891 P28070
P82650 P38432
Q96EK5 Q8N7H5
Q9UKV5 Q9NT62
Q96QK1 P47985
Q96BY9 Q8IX12
O75190 P46977
Q8IY81 P82932
P30622 Q9H3P2
P37377 Q8NF37
O94776 P27816
Q7TPV4 Q5NDL2
Q99426 P55795
O75390 Q13310
P19447 O75489
P30533 P23396
Q8WVN8 Q91VD9
Q9H334 Q9UKU7
P19404 Q16623
Q16222 P61014
P25490 P13667
P68511 O43920
O95486 Q13263
Q9BT88 Q05048
Q9Y3D0 O96008
P53582 Q9H1E5
Q9EP89 P46459
O43684 P39054
Q14498 P25398
P04040 B2RUR8
Q9JJM9 Q96TA2
Q5BJF2 Q86XE5
P17535 Q9NSE4
Q5JRX3 Q9P287
P47985 P25398
Q9NV56 P52209
Q9HCC6 P68371
P68510 Q8IYB9
Q9D6M3 Q8N7H5
P16402 Q9BT88
P51398 P23193
Q969V3 P46460
P61163 P13995
O43889 Q16740
O43390 O75390
P21333 P08579
Q9UJZ1 O60293
Q16659 Q791V5
P26599 Q8TAM6
P15999 P50502
Q9UG56 P39687
Q9CPW4 Q96G23
Q9CR61 Q3B8Q0
Q13191 Q8VBT0
O00116 O00268
P38159 P15999
O00124 P84077
Q9QYA2 P14324
Q14320 P16546
Q5JTZ9 Q9Y4R8
P55809 P97434
Q14247 Q6MZP7
Q9UIL1 P39019
O60341 Q5T653
Q9P209 Q13951
Q13907 Q5SYD0
P12004 Q04323
Q8WVM8 Q13029
Q9NZ01 P62081
O60832 Q15031
P16546 O60313
Q15029 P56556
O75934 P12532
Q8WWY3 Q6ZVX7
Q7Z4S6 P31942
O15347 Q9CQC7
Q9DB77 P63143
Q9UBD5 Q9HD20
Q9NZN8 Q16891
Q8TCJ2 P17987
P55039 Q9H8Y8
P39053 Q8K310
Q9Y3D6 Q7Z4V5
Q99961 P04156
O60476 Q00839
P27144 Q9UQL6
Q13347 P67778
Q9NV79 O00217
P30084 P25398
Q8NEY8 O75306
Q14008 P06899
P20029 Q99608
O95391 Q9HAT1
Q9D6M3 Q68E01
Q01082 Q9H3N1
P10275 Q9CQQ7
Q9DC69 Q8TDZ2
Q15149 O00116
O60308 O43920
Q06710 Q9Y6W5
Q32MZ4 Q60932
Q14919 Q9Y6G9
Q99574 P10588
P19388 Q91WD5
Q9BW91 P61244
P07237 Q5C9Z4
P54136 P09874
Q8QZZ8 Q15672
P97473 Q14257
Q9ESN9 P60468
P29122 P15999
Q96C24 Q9H488
P62960 Q9D6J6
Q9HC98 Q9H8Y8
Q5VT06 P56480
Q9H444 Q9NRP0
Q15393 Q99469
O09111 Q6PKG0
Q9QXS1 Q9HCC0
P18031 Q9CQJ8
O15160 Q5T653
Q9UKA4 Q9D8B4
Q8NFW8 Q9EPJ9
Q9D8B4 Q16513
P08670 Q9BW91
Q96I99 Q9UK61
P19021 P68400
P39748 P84077
P61020 Q969H8
Q9BQE3 P36957
Q9UKV3 Q9UKV5
P82933 P42574
P05064 Q9HC44
Q5C9Z4 Q8K3J1
Q9NRX5 P50991
Q9HD33 Q63610
P78371 Q791V5
P68254 Q99797
Q14839 Q9CR61
P07195 Q6UX04
P08621 P29966
Q9UQ35 O15240
Q16850 O75970
Q91X78 O00291
P19404 O95171
P05455 P62917
P70362 P32322
O95218 P68373
Q7KZI7 Q8WX92
P42166 Q7L576
Q13136 P30084
Q5H9L2 O95847
O14802 Q9DBG3
Q15393 Q96HE7
O15269 P08752
Q80TJ1 Q9NPE2
O75964 P54652
Q96P63 P42285
Q96JM7 Q5JPH6
Q12972 Q8NEW0
Q9NZ45 Q9NV56
Q14694 P82675
O00541 P21912
Q6PHZ2 P06899
Q9QXX4 Q92932
Q5BJF2 Q9H9G7
Q91VD9 Q15365
P49588 Q9NVU7
P31943 Q96CS2
Q8NBS9 P35251
Q9NW64 P30837
Q8NF37 Q9Y305
P61981 O94776
Q9H9G7 Q8CHZ9
Q9ULC5 Q96GX2
P17427 Q8IYW5
Q8IXI2 Q91VR7
Q9H307 P02687
P27824 Q8N2I9
P14625 Q96GX2
Q8NBQ5 Q969Q0
Q16891 O60716
Q9NPI1 O95573
Q96R06 Q9Y6C9
Q9Y277 A5A3E0
Q15149 P30837
Q9NX20 O15143
Q9Y6X8 P23258
O60869 O09111
Q13724 Q8TAM6
Q9CQC7 P30520
Q91WD5 P19388
P29122 O15083
Q14320 F2Z461
Q9BYC9 Q9Y2J2
P21796 Q86Y82
Q2PQA9 Q96J01
O95202 Q6IPX3
P23297 Q8TDD1
Q13263 Q9HCC0
Q8N2K1 P60484
Q12840 Q12800
Q96CT7 Q9HD33
P42695 P13693
Q96PK6 Q9H3N1
Q91X78 P17858
O43303 Q9DCX2
Q9ULX6 Q8NBN3
P48443 P61014
Q99666 Q9P2X0
Q9BYD2 Q14919
Q9UBU9 O00483
Q9BYD2 P25789
Q05519 Q12955
Q96A33 Q13257
Q8N7H5 Q562R1
Q8WXF1 Q9CZ13
Q96HE7 Q7TPV4
P28331 Q63716
O60293 P85845
Q06481 Q5HYI7
Q9CPQ8 P08865
Q02978 P28290
P61163 P22033
Q96L91 Q7KZI7
P42126 Q96S38
P20029 Q91YT0
Q791V5 Q8IYW5
Q9Y5P4 P49411
Q68FD5 Q9CQC7
O60229 Q16740
P46977 P46777
Q9Y383 Q9ERD7
P24666 Q09666
O60264 Q969N2
P03921 P83916
Q86XR8 O95070
P10719 Q6ZNE5
O43920 Q9Y5P4
P11021 P42166
P83436 O00170
Q13263 Q96C24
Q99504 P54886
O60861 Q8WWC4
Q16629 Q9H9B4
O08849 Q9Y4W6
P49796 O95573
Q15042 Q9DCS9
Q8CHZ9 Q96MG8
P19536 Q7Z4V5
Q8IX12 P24311
Q15084 O60493
P35606 P20700
Q13620 Q9Y262
O15347 Q8R1I1
Q9CQ54 Q64522
P25705 P49790
P56270 Q14651
Q96QA5 P33778
Q86Y56 P22695
Q13561 P03893
Q9H3K6 Q7Z2W9
Q9NRW7 P05413
O14776 Q9Y2Z4
O75964 A8MXV4
Q91VR7 P03911
Q8BH59 O75369
P23258 Q9Y6C9
Q8VEM8 O00499
Q14204 P22087
Q8NDI1 P38432
Q99471 P56391
P21912 Q13467
P07741 Q9D0M3
P53007 Q9Y3Y2
Q15019 Q9UKU7
Q6L8Q7 O15047
P54886 Q8WWQ0
P46821 Q9CQZ6
O43819 P17046
Q14257 P30153
O95573 Q99962
O15160 Q96JJ3
P53804 O08599
P07199 P78371
Q9Y3Y2 P61765
Q92804 P51571
Q5JPE7 Q9NPQ8
P56556 Q7Z4S6
Q9UKU7 O00124
P00390 O94905
Q8IYB3 Q3KQU3
Q61387 P05213
Q13951 P17427
Q91YT7 P04925
P05141 Q7L014
P10637 Q9BSJ8
